Num,Acronym,Description,Author,Pub Year,Category
A.3.11,dIi,% Change in Investment - % Change in Industry Investment,Abarbanell and Bushee,1998,Investment
A.3.14,Ivg,Inventory Growth,Belo and Lin,2011,Investment
A.3.15,Ivc,Inventory Changes,Thomas and Zhang,2002,Investment
A.3.16,Oa,Operating Accruals,Sloan,1996,Investment
A.3.17,Ta,Total Accruals,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.18,dCoa,changes in Current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.19,dNca,changes in Non-current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.19,dNco,Changes in Net Non-current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.20,dFin,Changes in Net Financial Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.20,dFnl,changes in Financial Liabilities,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.20,dBe,changes in Book Equity,"Richardson, Sloan, Soliman, and Tuna",2005,Investment
A.3.22,Poa,Percent operating accruals,"Hafzalla, Lundholm, and Van Winkle",2011,Investment
A.3.23,Pta,Percent total accruals,"Hafzalla, Lundholm, and Van Winkle",2011,Investment
A.3.24,Pda,Percent discretionary accruals,,,Investment
A.3.25,Ndf,Net debt ﬁnance,"Bradshaw, Richardson, and Sloan",2006,Investment
A.4.1,"Roe1, Roe6",Return on Equity,"Hou, Xue, and Zhang",2015,Profitability
A.4.2,"dRoe1, dRoe6, and dRoe12",Changes in Return on Equity,"Hou, Xue, and Zhang",2015,Profitability
A.4.3,Roa1,Return on Assets,"Balakrishnan, Bartov, and Faurel",2010,Profitability
A.4.4,"dRoa1, dRoa6",Changes in Return on Assets,"Balakrishnan, Bartov, and Faurel",2010,Profitability
A.4.5,Ato,Asset Turnover,Soliman,2008,Profitability
A.4.6,Cto,Capital Turnover,Haugen and Baker,1996,Profitability
A.4.7,"Rna q 1, Rna q 6, Atoq1","Quarterly Return on Net Operating Assets, Quarterly Asset Turnover",Soliman,2008,Profitability
A.4.8,"Cto q1, Cto q6,",Quarterly Capital Turnover,Haugen and Baker,1996,Profitability
A.4.9,Gpa,Gross Proﬁts-to-assets,Novy-Marx,2013,Profitability
A.4.11,"Gla q 1, Gla q 6, and Gla q 12",Quarterly Gross Proﬁts-to-lagged Assets,,,Profitability
A.4.12,Ope,Operating Proﬁts to Equity,Fama and French,2015,Profitability
A.4.14,"Ole q 1, Ole q 6 ",Quarterly Operating Proﬁts-to-lagged Equity,,,Profitability
A.4.15,Opa,Operating Proﬁts-to-assets,"Linnainmaa, and Nikolaev",2015,Profitability
A.4.17,"Ola q 1, Ola q 6, and Ola q 12",Quarterly Operating Proﬁts-to-lagged Assets,,,Profitability
A.4.18,Cop,Cash-based Operating Proﬁtability,"Gerakos, Linnainmaa, and Nikolaev",2016,Profitability
A.4.19,Cla,Cash-based Operating Proﬁts-to-lagged Assets,,,Profitability
A.4.20,Claq,Quarterly Cash-based Operating Proﬁts-to-lagged Assets,,,Profitability
A.4.29,Tbi q 12,Quarterly Taxable Income-to-book Income,"Green, Hand, and Zhang",2013,Profitability
A5.1,Oca and Ioca,(Industry-adjusted) Organizational Capital-to-assets,Eisfeldt and Papanikolaou,2013,Intangibles
A.5.2,Adm,Advertising Expense-to-market,"Chan, Lakonishok, and Sougiannis",2001,Intangibles
A.5.4,Rdm,R&D Expense-to-market,"Chan, Lakonishok, and Sougiannis",2001,Intangibles
A.5.5,"Rdm q 1, Rdm q 6, and Rdm q 12",Quarterly R&D Expense-to-market,"Chan, Lakonishok, and Sougiannis",2001,Intangibles
A.5.6,Rds q 6 and Rds q 12,Quarterly R&D Expense-to-sales,"Chan, Lakonishok, and Sougiannis",2001,Intangibles
A.5.8,Ol,Operating Leverage,Novy-Marx,2011,Intangibles
A.5.9,"Ol q 1, Ol q 6, and Ol q 12",Quarterly Operating Leverage,Novy-Marx,2011,Intangibles
A.5.11,Rca,R&D Capital-to-assets,Li,2011,Intangibles
A.5.24,Etr,Eﬀective Tax Rate,Abarbanell and Bushee,1998,Intangibles
A.5.46,"Alm q 1, Alm q 6, and Alm q 12",Quarterly Asset Liquidity,Ortiz-Molina and Phillips,2014,Intangibles
A.5.50,"R a 1 , R n 1 , R a [2,5] , R n[2,5] , R a[6,10] , R n[6,10] , R a[11,15] , and R a[16,20]",Seasonality,Heston and Sadka,2008,Intangibles
