Num,Acronym,Description,Author,Pub Year,Category,Main Formula,Other Formula,CRSP,Compustat(annual),Compustat(quarterly),IBES,description
A.2.20,Em,Enterprise multiple,Loughran and Wellman,2011,Value-versus-growth,data_rawa['em'] = data_rawa['enteprs_v'] / data_rawa['oibdp'],"* 'me' from rawa
data_rawa['enteprs_v'] = data_rawa['me'] + data_rawa['dlc'] + data_rawa['dltt'] + data_rawa['pstkrv'] - data_rawa['che']",1,1,0,0,"Enterprise multiple, Em, is enterprise value divided by operating income before depreciation (Com- pustat annual item OIBDP). Enterprise value is the market equity plus the total debt (item DLC plus item DLTT) plus the book value of preferred stocks (item PSTKRV) minus cash and short- term investments (item CHE). At the end of June of each year t, we split stocks into deciles based on Em for the fiscal year ending in calendar year t-1. The Market equity (from CRSP) is measured at the end of December of t - 1. For firms with more than one share class, we merge the market equity for all share classes before computing Em. Firms with negative enterprise value or operating income before depreciation are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.2.21,"Emq1, Emq6","Quarterly Enterprise multiple (1-month holding period), Quarterly Enterprise multiple (6-month holding period)",Loughran and Wellman,2011,Value-versus-growth,,,,,,,"Emq, is enterprise value scaled by operating income before depreciation (Compustat quarterly item OIBDPQ). Enterprise value is the market equity plus total debt (item DLCQ plus item DLTTQ) plus the book value of preferred stocks (item PSTKQ) minus cash and short-term investments (item CHEQ). At the beginning of each month t, we split stocks into deciles on Emq for the latest fiscal quarter ending at least four months ago. The Market equity (from CRSP) is measured at the end of month t - 1. For firms with more than one share class, we merge the market equity for all share classes before computing Emq. Firms with negative enterprise value or operating income before depreciation are excluded. Monthly decile returns are calculated for the current month t (Emq1), from month t to t + 5 (Emq6), and from month t to t + 11 (Emq12), and the deciles are rebalanced at the beginning of t + 1. The holding period longer than one month as in Emq6 means that for a given decile in each month there exist six subdeciles, each initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Emq6 decile. For sufficient data coverage, the EMq portfolios start in January 1975."
A.2.22,Sp,Sales-to-price,"Barbee, Mukherji, and Raines",1996,Value-versus-growth,data_rawq['sp'] = data_rawq['saleq4']/data_rawq['me'],"data_rawq['saleq4'] = ttm4('saleq', data_rawq)
data_rawq['saleq4'] = np.where(data_rawq['saleq4'].isnull(), data_rawq['saley'], data_rawq['saleq4'])
* 'me' from rawq",1,0,1,0,"At the end of June of each year t, we sort stocks into deciles based on sales-to-price, Sp, which is sales (Compustat annual item SALE) for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1. For firms with more than one share class, we merge the market equity for all share classes before computing Sp. Firms with non-positive sales are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.2.23,"Sp q 1, Sp q 6, and Sp q 12",Quarterly Sales-to-price,"Barbee, Mukherji, and Raines",1996,Value-versus-growth,,,,,,,"At the beginning of each month t, we sort stocks into deciles based on quarterly sales-to-price, Spq, which is sales (Compustat quarterly item SALEQ) divided by the market equity at the end of month t - 1. Before 1972, we use quarterly sales from fiscal quarters ending at least four months prior to the portfolio formation. Starting from 1972, we use quarterly sales from the most recent quarterly earnings announcement dates (item RDQ). Sales are generally announced with earnings during quarterly earnings announcements (Jegadeesh and Livnat 2006). For a firm to enter the portfolio formation, we require the end of the fiscal quarter that corresponds to its most recent quarterly sales to be within six months prior to the portfolio formation. This restriction is imposed to exclude stale earnings information. To avoid potentially erroneous records, we also require the earnings announcement date to be after the corresponding fiscal quarter end. Firms with non- positive sales are excluded. For firms with more than one share class, we merge the market equity for all share classes before computing Spq. Monthly decile returns are calculated for the current month t (Spq1), from month t to t + 5 (Spq6), and from month t to t + 11 (Spq12), and the deciles are rebalanced at the beginning of t + 1. The holding period longer than one month as in Spq6 means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Spq6 decile."
A.2.24,Ocp,Operating Cash Flow-to-price,"Desai, Rajgopal, and Venkatachalam",2004,Value-versus-growth,"data_rawa['ocp'] = data_rawa['ocy'] / data_rawa['me']
data_rawa['ocp'] = np.where(data_rawa['ocp']<=0, np.nan, data_rawa['ocp'] )","* 'me' from rawa
data_rawa['ocy'] = np.where(data_rawa['jdate'] < '1988-06-30', data_rawa['fopt'] - data_rawa['wcap'], data_rawa['fopt'] - data_rawa['oancf'])",1,1,0,0,"At the end of June of each year t, we sort stocks into deciles based on operating cash flows-to-price, Ocp, which is operating cash flows for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1. Operating cash flows are measured as funds from operation (Compustat annual item FOPT) minus change in working capital (item WCAP) prior to 1988, and then as net cash flows from operating activities (item OANCF) stating from 1988. For firms with more than one share class, we merge the market equity for all share classes before computing Ocp. Firms with non-positive operating cash flows are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t+1. Because the data on funds from operation start in 1971, the Ocp portfolios start in July 1972.
"
A.2.26,Ir,Intangible Return,Daniel and Titman,2006,Value-versus-growth,"
#Regression and get ir
#First get unique datelist
datelist = data_rawa['jdate'].unique()
for date in datelist:
    temp = data_rawa[data_rawa['jdate'] == date]
    n_row = temp.shape[0]
    index = temp.index
    X = pd.DataFrame()
    X['bm5'] = temp['bm5']
    X['rB'] = temp['rB']
    X['intercept'] = 1
    X = X[['intercept','rB','bm5']]
    X = np.mat(X)
    Y = np.mat(temp[['ret5']])
    #These are residuals on one date
    res = (np.identity(n_row) - X.dot(X.T.dot(X).I).dot(X.T)).dot(Y)
    #put residuals back into data_rawa
    data_rawa.loc[index,'ir'] = res","* 'bm' from rawa
#ir
'''
#First calculate r(t-5,t). Then rb(t-5,t) and use Bm to perform linear regression and get residue
'''
#r(t-5,t):sum ret from t-5 to t (which is calendar year t-6 to t-1)
lag = pd.DataFrame()
for i in range(1,6):
        lag['ret%s' % i] = data_rawa.groupby(['permno'])['ret'].shift(i)

data_rawa['ret5'] = lag['ret1']+lag['ret2']+lag['ret3']+lag['ret4']+lag['ret5']

#bm_t-5 (bm of year t-5)
data_rawa['bm5'] = data_rawa.groupby(['permno'])['bm'].shift(5)

#rB (five year log book return)
#Reference: jf_06 page8 by KENT DANIEL
data_rawa['rB'] = data_rawa['bm'] - data_rawa['bm5'] + data_rawa['ret5']
",1,1,0,0,p77
A.2.28,Ebp,Enterprise Book-to-price,"Penman, Richardson, and Tuna",2007,Value-versus-growth,data_rawa['ebp'] = (data_rawa['n_debt']+data_rawa['ber']) / (data_rawa['n_debt']+data_rawa['me']),"* 'me' from rawa
#Ebp
data_rawa['dvpa'] = np.where(data_rawa['dvpa'].isnull(), 0, data_rawa['dvpa'])
data_rawa['tstkp'] = np.where(data_rawa['tstkp'].isnull(), 0, data_rawa['tstkp'])
data_rawa['f_liab'] = data_rawa['dltt'] + data_rawa['dlc'] + data_rawa['pstk'] + data_rawa['dvpa'] - data_rawa['tstkp']
data_rawa['f_asse'] = data_rawa['che']
# net debt : = 铿乶ancial liabilities - 铿乶ancial assets.
data_rawa['n_debt'] = data_rawa['f_liab'] - data_rawa['f_asse']
data_rawa['ber'] = data_rawa['ceq'] + data_rawa['tstkp'] - data_rawa['dvpa']",1,1,0,0,"Following Penman, Richardson, and Tuna (2007), we measure enterprise book-to-price, Ebp, as the ratio of the book value of net operating assets (net debt plus book equity) to the market value of net operating assets (net debt plus market equity). Net Debt-to-price, Ndp, is the ratio of net debt to the market equity. Net debt is financial liabilities minus financial assets. We measure financial liabilities as the sum of long-term debt (Compustat annual item DLTT), debt in current liabilities (item DLC), carrying value of preferred stock (item PSTK), and preferred dividends in arrears (item DVPA, zero if missing), less preferred treasury stock (item TSTKP, zero if missing). We measure financial assets as cash and short-term investments (item CHE). Book equity is common equity (item CEQ) plus any preferred treasury stock (item TSTKP, zero if missing) less any pre- ferred dividends in arrears (item DVPA, zero if missing). Market equity is the number of common shares outstanding times share price (from CRSP).
At the end of June of each year t, we sort stocks into deciles based on Ebp, and separately, on Ndp, for the fiscal year ending in calendar year t - 1. Market equity is measured at the end of December of t - 1. For firms with more than one share class, we merge the market equity for all share classes before computing Ebp and Ndp. When forming the Ebp portfolios, we exclude firms with non-positive book or market value of net operating assets. For the Ndp portfolios, we exclude firms with non-positive net debt. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.2.3,Bmq12,Quarterly Book-to-market Equity (12-month holding period),"Rosenberg, Reid, and Lanstein ",1985,Value-versus-growth,,,,,,,p70
A.2.9,Ep,Earnings-to-price,Basu,1983,Value-versus-growth,data_rawq['ep'] = data_rawq['ibq4']/data_rawq['me'],"data_rawq['ibq4'] = ttm4('ibq', data_rawq)
* 'me' from rawq
",1,0,1,0,"At the end of June of each year t, we split stocks into deciles based on earnings-to-price, Ep, which is income before extraordinary items (Compustat annual item IB) for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1. For firms with more than one share class, we merge the market equity for all share classes before com- puting Ep. Firms with non-positive earnings are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.1,Aci,Abnormal Corporate Investment,"Titman, Wei, and Xie",2004,Investment,data_rawa['aci'] = data_rawa['ce']/ (data_rawa['ce1']+data_rawa['ce2']+data_rawa['ce3'])-1,"data_rawa['ce'] = data_rawa['capx'] / data_rawa['sale']
data_rawa['ce1'] = data_rawa['ce'].shift(1)
data_rawa['ce2'] = data_rawa['ce'].shift(2)
data_rawa['ce3'] = data_rawa['ce'].shift(3)",0,1,0,0,"At the end of June of year t, we measure abnormal corporate investment, Aci, as Cet-1/[(Cet-2 + Cet-3 + Cet-4)/3] - 1, in which Cet-j is capital expenditure (Compustat annual item CAPX) scaled by sales (item SALE) for the fiscal year ending in calendar year t - j. The last three-year average capital expenditure is designed to project the benchmark investment in the portfolio formation year. We exclude firms with sales less than ten million dollars. At the end of June of each year t, we sort stocks into deciles based on Aci. Monthly decile returns are computed from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.10,Nsi,Net Stock Issues,Pontiﬀ and Woodgate,2008,Investment,data_rawa['nsi'] = np.log(data_rawa['sps']/data_rawa['sps_l1']),"data_rawa['sps'] = data_rawa['csho'] * data_rawa['ajex']
data_rawa['sps_l1'] = data_rawa.groupby('permno')['sps'].shift(1)",0,1,0,0,"At the end of June of year t, we measure net stock issues, Nsi, as the natural log of the ratio of the split-adjusted shares outstanding at the fiscal year ending in calendar year t-1 to the split-adjusted shares outstanding at the fiscal year ending in t-2. The split-adjusted shares outstanding is shares outstanding (Compustat annual item CSHO) times the adjustment factor (item AJEX). At the end of June of each year t, we sort stocks with negative Nsi into two portfolios (1 and 2), stocks with zero Nsi into one portfolio (3), and stocks with positive Nsi into seven portfolios (4 to 10). Monthly decile returns are from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.11,dIi,% Change in Investment - % Change in Industry Investment,Abarbanell and Bushee,1998,Investment,data_rawa['dIi'] = data_rawa['dinvt'] - data_rawa['dind'],"data_rawa['e_invt'] = (data_rawa['capxv'] + data_rawa['capxv'].shift(1))/2
data_rawa['dinvt'] = (data_rawa['capxv'] - data_rawa['e_invt']) / data_rawa['e_invt']

data_rawa['ind'] = data_rawa['capxv']
s = data_rawa.groupby(['jdate', 'sic2'])['ind'].sum()
data_rawa = pd.merge(data_rawa, s, on=['jdate', 'sic2'])
# new industry investment will be named as ind_y, cause it's been grouped by ind
data_rawa['e_ind'] = (data_rawa['ind_y'] + data_rawa['ind_y'].shift(1))/2
data_rawa['dind'] = (data_rawa['ind_y']-data_rawa['e_ind']) / data_rawa['e_ind']",0,1,0,0,"Following Abarbanell and Bushee (1998), we define the %d(.) operator as the percentage change in the variable in the parentheses from its average over the prior two years, e.g., %d(Investment) = [Investment(t) - E[Investment(t)]]/E[Investment(t)], in which E[Investment(t)] = [Investment(t-1) + Investment(t - 2)]/2. dIi is defined as %d(Investment) - %d(Industry investment), in which investment is capital expenditure in property, plant, and equipment (Compustat annual item CAPXV). Industry investment is the aggregate investment across all firms with the same two- digit SIC code. Firms with non-positive E[Investment(t)] are excluded and we require at least two firms in each industry. At the end of June of each year t, we sort stocks into deciles based on dIi for the fiscal year ending in calendar year t - 1. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.14,Ivg,Inventory Growth,Belo and Lin,2011,Investment,,,,,,,"At the end of June of each year t, we sort stocks into deciles based on inventory growth, Ivg, which is the annual growth rate in inventory (Compustat annual item INVT) from the fiscal year ending in calendar year t - 2 to the fiscal year ending in t - 1. Monthly decile returns are calculated from July of year t to June of t+1, and the deciles are rebalanced in June of t+1."
A.3.15,Ivc,Inventory Changes,Thomas and Zhang,2002,Investment,data_rawa['ivc'] = data_rawa['invt'] / data_rawa['atAvg'],"data_rawa['at_l1'] = data_rawa.groupby(['permno'])['at'].shift(1)
data_rawa['atAvg'] = (data_rawa['at']+data_rawa['at_l1'])/2",1,1,0,0,"At the end of June of each year t, we sort stocks into deciles based on inventory changes, Ivc, which is the annual change in inventory (Compustat annual item INVT) scaled by the average of total assets (item AT) for the fiscal years ending in t - 2 and t - 1. We exclude firms that carry no inventory for the past two fiscal years. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.16,Oa(acc),Operating Accruals,Sloan,1996,Investment,"data_rawq['acc'] = np.select(condlist, choicelist,
                          default=((data_rawq['actq']-data_rawq['lctq']+data_rawq['npq'])-
                                   (data_rawq['actq_l4']-data_rawq['lctq_l4']+data_rawq['npq_l4']))/(10*data_rawq['beq']))
","#prepare be
data_rawq['beq'] = np.where(data_rawq['seqq']>0, data_rawq['seqq']+data_rawq['txditcq']-data_rawq['pstkq'], np.nan)
data_rawq['beq'] = np.where(data_rawq['beq']<=0, np.nan, data_rawq['beq'])
# acc
data_rawq['actq_l4'] = data_rawq.groupby(['permno'])['actq'].shift(4)
data_rawq['lctq_l4'] = data_rawq.groupby(['permno'])['lctq'].shift(4)
data_rawq['npq_l4'] = data_rawq.groupby(['permno'])['npq'].shift(4)
condlist = [data_rawq['npq'].isnull(),
            data_rawq['actq'].isnull() | data_rawq['lctq'].isnull()]
choicelist = [((data_rawq['actq']-data_rawq['lctq'])-(data_rawq['actq_l4']-data_rawq['lctq_l4']))/(10*data_rawq['beq']),
              np.nan]",0,0,1,0,"Prior to 1988, we use the balance sheet approach in Sloan (1996) to measure operating accruals, Oa, as changes in noncash working capital minus depreciation, in which the noncash working capital is changes in noncash current assets minus changes in current liabilities less short-term debt and taxes payable. In particular, Oa equals (dCA-dCASH)-(dCL-dSTD-dTP)-DP, in which dCA is the change in current assets (Compustat annual item ACT), dCASH is the change in cash or cash equiv- alents (item CHE), dCL is the change in current liabilities (item LCT), dSTD is the change in debt included in current liabilities (item DLC), dTP is the change in income taxes payable (item TXP), and DP is depreciation and amortization (item DP). Missing changes in income taxes payable are set to zero. Starting from 1988, we follow Hribar and Collins (2002) to measure Oa using the state- ment of cash flows as net income (item NI) minus net cash flow from operations (item OANCF). Doing so helps mitigate measurement errors that can arise from nonoperating activities such as ac- quisitions and divestitures. Data from the statement of cash flows are only available since 1988. At the end of June of each year t, we sort stocks into deciles on Oa for the fiscal year ending in calendar year t - 1 scaled by total assets (item AT) for the fiscal year ending in t - 2. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1.
"
A.3.17,Ta,Total Accruals,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['ta'] = data_rawa['dwc'] + data_rawa['dnco'] + data_rawa['dfin'],"#dwc
data_rawa['dwc'] = (data_rawa['act'] - data_rawa['che']) - (data_rawa['lct'] - data_rawa['dlc'])
* dnco
* dfin
",0,1,0,0,"Prior to 1988, we use the balance sheet approach in Richardson, Sloan, Soliman, and Tuna (2005) to measure total accruals, Ta, as dWc + dNco + dFin. dWc is the change in net non-cash working capital. Net non-cash working capital is current operating asset (Coa) minus current operating liabilities (Col), with Coa = current assets (Compustat annual item ACT) - cash and short-term investments (item CHE) and Col = current liabilities (item LCT) - debt in current liabilities (item DLC). dNco is the change in net non-current operating assets. Net non-current operating assets are non-current operating assets (Nca) minus non-current operating liabilities (Ncl), with Nca = total assets (item AT) - current assets - long-term investments (item IVAO), and Ncl = total liabilities (item LT) - current liabilities - long-term debt (item DLTT). dFin is the change in net financial assets. Net financial assets are financial assets (Fna) minus financial liabilities (Fnl), with Fna = short-term investments (item IVST) + long-term investments, and Fnl = long-term debt + debt in current liabilities + preferred stocks (item PSTK). Missing changes in debt in current liabilities, long-term investments, long-term debt, short-term investments, and preferred stocks are set to zero.
Starting from 1988, we use the cash flow approach to measure Ta as net income (item NI) minus total operating, investing, and financing cash flows (items OANCF, IVNCF, and FINCF) plus sales of stocks (item SSTK, zero if missing) minus stock repurchases and dividends (items PRSTKC and DV, zero if missing). Data from the statement of cash flows are only available since 1988. At the end of June of each year t, we sort stocks into deciles based on Ta for the fiscal year ending in calendar year t - 1 scaled by total assets for the fiscal year ending in t - 2. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.3.18,dCoa,changes in Current Operating Assets,"Richardson, Sloan, Soliman, and Tuna",2005,Investment,data_rawa['dcoa'] = (data_rawa['coa']-data_rawa['coa'].shift(1)) / data_rawa['at'].shift(1),"# dCoa
data_rawa['coa'] = data_rawa['act'] - data_rawa['che']",0,1,0,0,"Richardson, Sloan, Soliman, and Tuna (2005, Table 10) show that several components of total accruals also forecast returns in the cross section. dWc is the change in net non-cash working capital. Net non-cash working capital is current operating asset (Coa) minus current operating liabilities (Col), with Coa = current assets (Compustat annual item ACT) - cash and short term investments (item CHE) and Col = current liabilities (item LCT) - debt in current liabilities (item DLC). dCoa is the change in current operating asset and dCol is the change in current operating liabilities. Missing changes in debt in current liabilities are set to zero. At the end of June of each year t, we sort stocks into deciles based, separately, on dWc, dCoa, and dCol for the fiscal year ending in calendar year t - 1, all scaled by total assets (item AT) for the fiscal year ending in calendar year t - 2. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
