Chars,Name,Description
cash,Cash holdings,Cash and cash equivalents divided by average total assets
cashdebt,Cash ﬂow to debt,Earnings before depreciation and extraordinary items (ib+dp) divided by avg. total liabilities (lt)
cfp,Cash-ﬂow-to-price ratio,Operating cash ﬂows divided by ﬁscal-year-end market capitalization
chcsho,Change in shares outstanding,Annual percent change in shares outstanding (csho)
chpm,Industry-adjusted change in proﬁt margin,2-digit SIC - ﬁscal-year mean adjusted change in income before extraordinary items (ib) divided by sales (sale)
chtx,Change in tax expense,Percent change in total taxes (txtq) from quartert-4 to t
cinvest,Corporate investment,"Change over one quarter in net PP&E (ppentq) divided by sales (saleq) - average of this variable for prior 3 quarters; if saleq = 0, then scale by 0.01"
depr,Depreciation / PP&E,Depreciation divided by PP&E
dolvol,Dollar trading volume,Natural log of trading volume times price per share from month t-2
dy,Dividend to price,Total dividends (dvt) divided by market capitalization at ﬁscal year-end
ep,Earnings to price,Annual income before extraordinary items (ib) divided by end of ﬁscal year market cap
gma,Gross proﬁtability,Revenues (revt) minus cost of goods sold (cogs) divided by lagged total assets (at)
grltnoa,Growth in long-term net operating assets,Growth in long-term net operating assets
herf,Industry sales concentration,2-digit SIC - ﬁscal-year sales concentration (sum of squared percent of sales in industry for each company).
hire,Employee growth rate,Percent change in number of employees (emp)
ill,Illiquidity rolling 3m,Average of daily (absolute return / dollar volume).
lev,Leverage,Total liabilities (lt) divided by ﬁscal year-end market capitalization
lgr,Growth in long-term debt,Annual percent change in total liabilities (lt)
maxret,Maximum daily returns rolling 3m,Maximum daily return from returns during calendar montht-1
me_ia,Industry-adjusted size,2-digit SIC industry-adjusted ﬁscal year-end market capitalization
mom12m,Momentum rolling 12m,11-month cumulative returns ending one month before month end
mom1m,Momentum ,1-month cumulative return
mom36m,Momentum rolling 36m,Cumulative returns from monthst-36 to t-13
mom60m,Momentum rolling 60m,Cumulative returns from monthst-60 to t-13
mom6m,Momentum rolling 6m,5-month cumulative returns ending one month before month end
ni,Net stock issues,"At the end of June of year t, we measure net stock issues, Nsi, as the natural log of the ratio of the split-adjusted shares outstanding at the ﬁscal year ending in calendar year t−1 to the split-adjusted shares outstanding at the ﬁscal year ending in t−2. The split-adjusted shares outstanding is shares outstanding (Compustat annual item CSHO) times the adjustment factor (item AJEX)."
nincr,Number of earnings increases,Number of consecutive quarters (up to eight quarters) with an increase in earnings (ibq) over same quarter in the prior year
noa,Net operating assets,"Following Hirshleifer, Hou, Teoh, and Zhang (2004), we measure net operating assets as operating assets minus operating liabilities. Operating assets are total assets (Compustat annual item AT) minus cash and short-term investment (item CHE). Operating liabilities are total assets minus debt included in current liabilities (item DLC, zero if missing), minus long-term debt (item DLTT, zero if missing), minus minority interests (item MIB, zero if missing), minus preferred stocks (item PSTK, zero if missing), and minus common equity (item CEQ). Noa is net operating assets scalded by one-year-lagged total assets."
op,Operating proﬁtability,"Following Fama and French (2015), we measure operating proﬁtability to equity, Ope, as total revenue (Compustat annual item REVT) minus cost of goods sold (item COGS, zero if missing), minus selling, general, and administrative expenses (item XSGA, zero if missing), and minus interest expense (item XINT, zero if missing), scaled by book equity (the denominator is current, not lagged, book equity). We require at least one of the three expense items (COGS, XSGA, and XINT) to be non-missing. Book equity is stockholders’ book equity, plus balance sheet deferred taxes and investment tax credit (item TXDITC) if available, minus the book value of preferred stock. Stockholders’ equity is the value reported by Compustat (item SEQ), if it is available. If not, we measure stockholders’ equity as the book value of common equity (item CEQ) plus the par value of preferred stock (item PSTK), or the book value of assets (item AT) minus total liabilities (item LT). Depending on availability, we use redemption (item PSTKRV), liquidating (item PSTKL), or par value (item PSTK) for the book value of preferred stock."
pctacc,Percent accruals,Same as acc except that the numerator is divided by the absolute value of ib; if ib = 0 then ib set to 0.01 for denominator.
pm,proﬁt margin,"Soliman (2008) use DuPont analysis to decompose Roe as Rna + FLEV × SPREAD, in which Roe is return on equity, Rna is return on net operating assets, FLEV is ﬁnancial leverage, and SPREAD is the diﬀerence between return on net operating assets and borrowing costs. We can further decompose Rna as Pm × Ato, in which Pm is proﬁt margin and Ato is asset turnover. Pm is operating income after depreciation divided by sales (item SALE) for the ﬁscal year ending in calendar year t − 1."
pscore,Performance Score,Sum of 9 indicator variables to form fundamental health score
rd_sale,R&D to sales,R&D expense divided by sales (xrd/sale)
rdm,R&D to market capitalization,R&D expense divided by end-of-ﬁscal-year market capitalization
re,Revisions in analysts’ earnings forecasts,"Following Chan, Jegadeesh, and Lakonishok (1996), we measure earnings surprise as the revisions in analysts’ forecasts of earnings obtained from the Institutional Brokers’ Estimate System (IBES). Because analysts’ forecasts are not necessarily revised each month, we construct a six-month moving average of past changes in analysts’ forecasts: RE_{it}=\sum_{\iota=1}^6\frac{"
rna,return on net operating assets,"Following Soliman (2008), we use annual sorts to form Rna, Pm, and Ato deciles. At the end of June of year t, we measure Rna as operating income after depreciation (Compustat annual item OIADP) for the ﬁscal year ending in calendar year t − 1 divided by net operating assets (Noa) for the ﬁscal year ending in t − 2."
roa,Return on assets,"Return on assets, Roa, is income before extraordinary items (Compustat quarterly item IBQ) divided by one-quarter-lagged total assets (item ATQ). At the beginning of each month t, we sort all stocks into deciles based on Roa computed with quarterly earnings from the most recent earnings announcement dates (item RDQ). For a ﬁrm to enter the portfolio formation, we require the end of the ﬁscal quarter that corresponds to its most recent Roa to be within six months prior to the portfolio formation. This restriction is imposed to exclude stale earnings information. To avoid potentially erroneous records, we also require the earnings announcement date to be after the corresponding ﬁscal quarter end."
roe,Return on equity,"Return on equity, Roe, is income before extraordinary items (Compustat quarterly item IBQ) divided by one-quarter-lagged book equity (Hou, Xue, and Zhang 2015). Book equity is shareholders’ equity, plus balance sheet deferred taxes and investment tax credit (item TXDITCQ) if available, minus the book value of preferred stock (item PSTKQ). Depending on availability, we use stockholders’ equity (item SEQQ), or common equity (item CEQQ) plus the book value of preferred stock, or total assets (item ATQ) minus total liabilities (item LTQ) in that order as shareholders’ equity."
rsup,Revenue surprise,Sales from quarter t minus sales from quarter t-4 (saleq) divided by ﬁscal-quarter-end market capitalization (cshoq * prccq)
rvar_capm,Residual variance - CAPM rolling 3m,Daily Stock residual variance of CAPM
rvar_ff3,Residual variance - ff3 rolling 3m,Daily Stock residual variance of Fama French 3 factors
rvar_mean,return variance rolling 3m,Daily Stock return variance
seas1a,Seasonality,Monthly Stock Return Lag 11 Months
sgr,Sales growth,Annual percent change in sales (sale)
sp,Sales to price,Annual revenue (sale) divided by ﬁscal year-end market capitalization
std_dolvol,Std of dollar trading volume rolling 3m,Monthly standard deviation of daily dollar trading volume
std_turn,Std. of Share turnover rolling 3m,Monthly standard deviation of daily share turnover
sue,Unexpected quarterly earnings,"Unexpected quarterly earnings divided by ﬁscal-quarter-end market cap. Unexpected earnings is I/B/E/S actual earnings minus median forecasted earnings if available, else it is the seasonally differenced quarterly earnings before extraordinary items from Compustat quarterly ﬁle"
turn,Shares turnover,Average monthly trading volume for most recent 3 months scaled by number of shares outstanding in current month
zerotrade,Number of zero-trading days rolling 3m,Turnover weighted number of zero trading days for most recent 1 month
